"Gene.symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"IL7R"	3.08205806199892	2.85486571780889	10.5028220383581	1.94244246177436e-08	4.44464790546365e-07	9.72501165146283
"SERPING1"	2.99782349748752	3.60793012771661	14.3214330326631	2.46293396965242e-10	1.26354900656347e-08	14.0731284060413
"JUP"	2.98696791781194	5.19306893865928	26.3357161619104	2.8955269553059e-14	7.81002588762963e-12	23.1016160091557
"APOBEC3B"	2.98072791344579	2.47088671126735	10.6380453783155	1.63044790804871e-08	3.88037883142822e-07	9.93460539021631
"CSRNP1"	2.94411160142254	3.63973264081922	19.5901546263929	2.47272879937259e-12	3.01503548537197e-10	18.6579582851905
"EIF2AK2"	2.94346621615629	6.12240514193308	35.1823984471379	3.52937211341028e-16	2.51319529451719e-13	27.4769662334452
"AC009950.2"	2.94114468381875	4.05453936301008	23.1688718933036	2.00361426287215e-13	4.06469752250443e-11	21.1431135242704
"RP11-324E6.6"	2.93897678049148	2.33136028890768	11.4772562864046	5.70946174743919e-09	1.58812246918613e-07	10.9903261023819
"SLFN12L"	2.92594512773737	2.71104488817611	12.895174329946	1.10762897280454e-09	4.26796774326114e-08	12.6113542752209
"SP110"	2.92120906664953	4.81339590563701	31.1540487008063	2.25634144455738e-15	1.11576084433362e-12	25.5617517228487
"C5"	2.91615796714968	3.37212773568531	13.1367086534213	8.50409600567758e-10	3.37923922082751e-08	12.8378567501915
"BAALC"	2.85761071842499	1.82158785016412	16.1691925837025	4.21585448335531e-11	3.05262132451438e-09	15.6661061253167
"C17ORF96"	2.84371377395169	2.14490124463995	16.0855196366328	4.54859014042072e-11	3.26508071289394e-09	15.6676825276796
"PNPT1P1"	2.82578489875233	3.21002211338006	17.9768055176432	8.85740534146917e-12	8.47739408004485e-10	17.3819060883275
"AC131056.3"	2.80327926778812	2.12752995115522	10.4548738781176	2.0677235608995e-08	4.67127091765646e-07	9.71570851382889
"RNF213"	2.80058369684782	9.24588716200789	31.823971603368	1.6316515168416e-15	8.54313538318064e-13	25.9137756171172
"KB-1991G8.1"	2.74458092548784	1.73127089310559	14.3264746777945	2.45044961031807e-10	1.26077757118157e-08	14.0095027681091
"AC005027.3"	2.74119374693808	4.17754644062515	13.0229686687388	9.62606178753841e-10	3.77451876523698e-08	12.6063848312231
"INHBA"	2.74073325424916	4.17312305453452	13.0554953440363	9.29002753929345e-10	3.65079625285876e-08	12.6435921626253
"APOL6"	2.71379643792578	6.57080504829	23.2027878227158	1.95998056225742e-13	4.05715976387285e-11	21.1099523090003
"DHX58"	2.70666908864513	5.17088490934709	32.9716493325868	9.50643298298122e-16	5.45914580525909e-13	26.4452399681937
